Name	Subunit_Name	Ensembl_ID	Subunit	Complex	Protein_type
MRPS5	S5	ENSG00000144029	Small	Ribosome	Structural
MRPS2	S2	ENSG00000122140	Small	Ribosome	Structural
MRPS6	S6	ENSG00000243927	Small	Ribosome	Structural
MRPS7	S7	ENSG00000125445	Small	Ribosome	Structural
MRPS9	S9	ENSG00000135972	Small	Ribosome	Structural
MRPS10	S10	ENSG00000048544	Small	Ribosome	Structural
MRPS11	S11	ENSG00000181991	Small	Ribosome	Structural
MRPS12	S12	ENSG00000128626	Small	Ribosome	Structural
MRPS14	S14	ENSG00000120333	Small	Ribosome	Structural
MRPS15	S15	ENSG00000116898	Small	Ribosome	Structural
MRPS16	S16	ENSG00000182180	Small	Ribosome	Structural
MRPS17	S17	ENSG00000239789	Small	Ribosome	Structural
MRPS18A	S18A	ENSG00000096080	Small	Ribosome	Structural
MRPS18B	S18B	ENSG00000229861	Small	Ribosome	Structural
MRPS18C	S18C	ENSG00000163319	Small	Ribosome	Structural
MRPS21	S21	ENSG00000266472	Small	Ribosome	Structural
MRPS22	S22	ENSG00000175110	Small	Ribosome	Structural
MRPS23	S23	ENSG00000181610	Small	Ribosome	Structural
MRPS24	S24	ENSG00000062582	Small	Ribosome	Structural
MRPS25	S25	ENSG00000131368	Small	Ribosome	Structural
MRPS26	S26	ENSG00000125901	Small	Ribosome	Structural
MRPS27	S27	ENSG00000113048	Small	Ribosome	Structural
MRPS28	S28	ENSG00000147586	Small	Ribosome	Structural
DAP3	S29	ENSG00000132676	Small	Ribosome	Structural
MRPS30	S30	ENSG00000112996	Small	Ribosome	Structural
MRPS31	S31	ENSG00000102738	Small	Ribosome	Structural
MRPS33	S33	ENSG00000090263	Small	Ribosome	Structural
MRPS34	S34	ENSG00000074071	Small	Ribosome	Structural
MRPS35	S35	ENSG00000061794	Small	Ribosome	Structural
MRPS36	S36	ENSG00000278461	Small	Ribosome	Structural
MRPL1	L1	ENSG00000169288	Large	Ribosome	Structural
MRPL2	L2	ENSG00000112651	Large	Ribosome	Structural
MRPL3	L3	ENSG00000114686	Large	Ribosome	Structural
MRPL4	L4	ENSG00000105364	Large	Ribosome	Structural
MRPL9	L9	ENSG00000143436	Large	Ribosome	Structural
MRPL10	L10	ENSG00000159111	Large	Ribosome	Structural
MRPL11	L11	ENSG00000174547	Large	Ribosome	Structural
MRPL12	L12	ENSG00000262814	Large	Ribosome	Assembly
MRPL13	L13	ENSG00000172172	Large	Ribosome	Assembly
MRPL14	L14	ENSG00000180992	Large	Ribosome	Assembly
MRPL15	L15	ENSG00000137547	Large	Ribosome	Assembly
MRPL16	L16	ENSG00000166902	Large	Ribosome	Assembly
MRPL17	L17	ENSG00000158042	Large	Ribosome	Assembly
MRPL18	L18	ENSG00000112110	Large	Ribosome	Assembly
MRPL19	L19	ENSG00000115364	Large	Ribosome	Assembly
MRPL20	L20	ENSG00000242485	Large	Ribosome	Assembly
MRPL21	L21	ENSG00000197345	Large	Ribosome	Assembly
MRPL22	L22	ENSG00000082515	Large	Ribosome	Assembly
MRPL23	L23	ENSG00000214026	Large	Ribosome	Assembly
MRPL24	L24	ENSG00000143314	Large	Ribosome	Assembly
MRPL27	L27	ENSG00000108826	Large	Ribosome	Structural
MRPL28	L28	ENSG00000086504	Large	Ribosome	Structural
MRPL30	L30	ENSG00000185414	Large	Ribosome	Structural
MRPL32	L32	ENSG00000106591	Large	Ribosome	Structural
MRPL33	L33	ENSG00000243147	Large	Ribosome	Assembly
MRPL34	L34	ENSG00000130312	Large	Ribosome	Assembly
MRPL35	L35	ENSG00000132313	Large	Ribosome	Assembly
MRPL36	L36	ENSG00000171421	Large	Ribosome	Assembly
MRPL37	L37	ENSG00000116221	Large	Ribosome	Structural
MRPL38	L38	ENSG00000204316	Large	Ribosome	Structural
MRPL39	L39	ENSG00000154719	Large	Ribosome	Structural
MRPL40	L40	ENSG00000185608	Large	Ribosome	Structural
MRPL41	L41	ENSG00000182154	Large	Ribosome	Structural
MRPL42	L42	ENSG00000198015	Large	Ribosome	Structural
MRPL43	L43	ENSG00000055950	Large	Ribosome	Structural
MRPL44	L44	ENSG00000135900	Large	Ribosome	Structural
MRPL45	L45	ENSG00000278845	Large	Ribosome	Structural
MRPL45	L45	ENSG00000277936	Large	Ribosome	Assembly
MRPL46	L46	ENSG00000259494	Large	Ribosome	Assembly
MRPL47	L47	ENSG00000136522	Large	Ribosome	Assembly
MRPL48	L48	ENSG00000175581	Large	Ribosome	Assembly
MRPL49	L49	ENSG00000149792	Large	Ribosome	Other
MRPL50	L50	ENSG00000136897	Large	Ribosome	Other
MRPL51	L51	ENSG00000111639	Large	Ribosome	Structural
MRPL52	L52	ENSG00000172590	Large	Ribosome	Structural
MRPL53	L53	ENSG00000204822	Large	Ribosome	Structural
MRPL54	L54	ENSG00000183617	Large	Ribosome	Structural
MRPL55	L55	ENSG00000162910	Large	Ribosome	Structural
LACTB	L56	ENSG00000103642	Large	Ribosome	Structural
